# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 13:26:16 2018
#
# CONSTRAINT:  where (koi_disposition like '%FALSE POSITIVE%'
# CONSTRAINT:  )
# CONSTRAINT:  order by koi_model_snr desc
#
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_model_snr:  Transit Signal-to-Noise
#
loc_rowid,kepoi_name,koi_disposition,koi_model_snr
7748,K06943.01,FALSE POSITIVE,9054.70
6316,K05774.01,FALSE POSITIVE,8755.20
7538,K07178.01,FALSE POSITIVE,8616.10
7106,K06134.01,FALSE POSITIVE,8577.40
7537,K07177.01,FALSE POSITIVE,8326.30
8788,K07164.01,FALSE POSITIVE,8251.50
8369,K07601.01,FALSE POSITIVE,8248.40
9081,K06764.01,FALSE POSITIVE,8168.60
7160,K06147.01,FALSE POSITIVE,8022.80
8745,K06075.01,FALSE POSITIVE,7878.00
6662,K05744.01,FALSE POSITIVE,7846.30
7858,K06831.01,FALSE POSITIVE,7795.30
8589,K06608.01,FALSE POSITIVE,7486.20
8719,K07064.01,FALSE POSITIVE,7428.70
7875,K07229.01,FALSE POSITIVE,7232.10
8686,K03523.01,FALSE POSITIVE,7056.80
7420,K07026.01,FALSE POSITIVE,6979.70
6402,K05797.01,FALSE POSITIVE,6944.90
8149,K06602.01,FALSE POSITIVE,6873.90
4793,K03520.01,FALSE POSITIVE,6788.80
7433,K07297.01,FALSE POSITIVE,6707.70
8799,K06119.01,FALSE POSITIVE,6581.30
8411,K07108.01,FALSE POSITIVE,6579.30
7003,K06109.01,FALSE POSITIVE,6512.70
7946,K07505.01,FALSE POSITIVE,6499.90
6005,K05058.01,FALSE POSITIVE,6485.80
8329,K02939.01,FALSE POSITIVE,6395.70
9520,K07977.01,FALSE POSITIVE,6351.70
7687,K06677.01,FALSE POSITIVE,6113.70
8603,K06964.01,FALSE POSITIVE,6104.80
7886,K07492.01,FALSE POSITIVE,6016.20
9018,K06555.01,FALSE POSITIVE,6009.00
7710,K07336.01,FALSE POSITIVE,5915.40
6490,K05814.01,FALSE POSITIVE,5902.40
7485,K07171.01,FALSE POSITIVE,5867.80
8894,K06146.01,FALSE POSITIVE,5784.80
8160,K06870.01,FALSE POSITIVE,5776.10
8441,K07444.01,FALSE POSITIVE,5758.70
7936,K07241.01,FALSE POSITIVE,5742.00
6915,K05983.01,FALSE POSITIVE,5696.20
7832,K06307.01,FALSE POSITIVE,5640.00
7478,K07035.01,FALSE POSITIVE,5606.70
7056,K06121.01,FALSE POSITIVE,5557.40
8759,K06112.01,FALSE POSITIVE,5552.20
8735,K06736.01,FALSE POSITIVE,5547.20
5779,K01611.01,FALSE POSITIVE,5518.20
7367,K07019.01,FALSE POSITIVE,5497.00
6050,K05335.01,FALSE POSITIVE,5494.60
7700,K07071.01,FALSE POSITIVE,5461.00
7480,K07037.01,FALSE POSITIVE,5446.90
8400,K07349.01,FALSE POSITIVE,5402.00
7295,K03186.01,FALSE POSITIVE,5388.30
4769,K03511.01,FALSE POSITIVE,5357.70
8239,K07278.01,FALSE POSITIVE,5324.60
8793,K05115.01,FALSE POSITIVE,5312.70
8087,K06594.01,FALSE POSITIVE,5286.20
7524,K06782.01,FALSE POSITIVE,5260.30
8153,K06737.01,FALSE POSITIVE,5258.20
8183,K07405.01,FALSE POSITIVE,5246.50
4771,K03513.01,FALSE POSITIVE,5219.50
8621,K06622.01,FALSE POSITIVE,5156.60
8144,K06483.01,FALSE POSITIVE,5148.80
7087,K06223.01,FALSE POSITIVE,5143.60
8351,K07027.01,FALSE POSITIVE,5131.40
8708,K07381.01,FALSE POSITIVE,5083.90
8157,K06743.01,FALSE POSITIVE,5027.80
4836,K03528.01,FALSE POSITIVE,4958.60
8003,K07511.01,FALSE POSITIVE,4885.30
7068,K06219.01,FALSE POSITIVE,4881.90
6634,K05738.01,FALSE POSITIVE,4791.00
7787,K06552.01,FALSE POSITIVE,4761.50
8409,K07516.01,FALSE POSITIVE,4750.20
6141,K05093.01,FALSE POSITIVE,4731.10
8378,K07294.01,FALSE POSITIVE,4696.80
8863,K06923.01,FALSE POSITIVE,4680.20
6162,K04982.01,FALSE POSITIVE,4679.30
8709,K06063.01,FALSE POSITIVE,4638.10
5989,K05298.01,FALSE POSITIVE,4630.10
6076,K05317.01,FALSE POSITIVE,4607.40
4788,K03514.01,FALSE POSITIVE,4594.80
7961,K06459.01,FALSE POSITIVE,4578.30
8875,K06616.01,FALSE POSITIVE,4563.50
8062,K07517.01,FALSE POSITIVE,4542.80
8790,K06189.01,FALSE POSITIVE,4541.10
8225,K06885.01,FALSE POSITIVE,4484.50
7404,K06629.01,FALSE POSITIVE,4456.60
